gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
A1BG	0.0320081964572002	-1.06270512797359e-08	0.0014426949954127	0.998763881413617	0.999965023961193
A4GALT	0.00989582524920391	6.57622640412538e-08	0.00144269501088466	0.999921544836745	0.999965023961193
AAAS	0.0822071497354549	-5.55196061016428e-08	0.00144269481686493	0.943469159367345	0.999965023961193
AACS	0.166005601801501	-6.94792195505512e-07	0.00144269447256114	0.71495749683531	0.999965023961193
AAGAB	0.32986324534514	-1.448662232668e-06	0.00144269438137772	0.332799391432614	0.999965023961193
AAK1	8.76470456780486	1.9708041108301e-06	0.00144267162249076	0.635472477230307	0.999965023961193
AAMDC	0.0208590711520948	1.03105512659854e-07	0.00144269496340812	0.998676923276359	0.999965023961193
AAMP	0.0237666813054013	4.24513949811915e-09	0.00144269499075119	0.978778562481067	0.999965023961193
AARS1	0.0413862730721619	1.81441420236866e-07	0.00144269501430471	0.945441162037217	0.999965023961193
AARS2	2.81103576045985	3.58756575355819e-06	0.0014426664194216	0.446298320911757	0.999965023961193
AARSD1	0.119828649230189	3.47387912697589e-07	0.0014426946816392	0.903463925783561	0.999965023961193
AASDH	0.0213886783811164	-2.42045991848004e-07	0.00144269499157945	0.944638307654324	0.999965023961193
AASDHPPT	0.0915767347981966	2.74263185243596e-07	0.00144269499750996	0.880649828866346	0.999965023961193
AASS	0.564775649243135	-7.60275088690737e-07	0.00144269141483005	0.552440858205441	0.999965023961193
AATF	0.141187549508854	-4.45528279850394e-07	0.00144269472743675	0.758771407856277	0.999965023961193
AATK	1.95953361974068	7.30206959370632e-06	0.00144270040989345	0.681301331815381	0.999965023961193
ABAT	0.037958790409442	1.3448767081356e-07	0.00144269497020153	0.983935974978096	0.999965023961193
ABCA1	0.192638337107448	1.34640369278731e-07	0.0014426937797893	0.927822888279738	0.999965023961193
ABCA10	0.0106195390273223	8.88800167829862e-09	0.00144269502119819	0.997902745712983	0.999965023961193
ABCA13	0.311725170659744	-1.62470529888796e-06	0.00144269312704468	0.387013418756358	0.999965023961193
ABCA2	0.30930230120789	1.72481193472068e-07	0.00144269491616577	0.769768350185231	0.999965023961193
ABCA3	0.00989582524920391	6.57622640412538e-08	0.00144269501088466	0.999921544836745	0.999965023961193
ABCA5	0.0229563084595912	-3.36351403643631e-07	0.00144269500422929	0.95985584801281	0.999965023961193
ABCA7	2.2947346718383	-6.13934314460544e-07	0.00144268851786239	0.771306587360841	0.999965023961193
ABCA8	0.0448862141251913	-5.12419045640619e-08	0.00144269496572428	0.977686523902625	0.999965023961193
ABCB1	0.0899516466259247	-2.39416236507141e-07	0.00144269496141987	0.87133233416228	0.999965023961193
ABCB10	0.00608420377488886	-4.38344492469959e-08	0.0014426950264201	0.965738961406987	0.999965023961193
ABCB11	1.54107029783774	-9.56014319517882e-07	0.00144268351533565	0.741250059977221	0.999965023961193
ABCB4	0.0456237533199634	-2.14788440954776e-07	0.0014426950198484	0.909017181693425	0.999965023961193
ABCB5	0.00863218186472279	-7.93113622716717e-08	0.00144269501882313	0.965673802969932	0.999965023961193
ABCB6	0.0205319842273961	1.27662813001012e-07	0.00144269501052949	0.982702492344062	0.999965023961193
ABCB7	0.317110010557323	-1.61385098891234e-06	0.00144269438664666	0.221535338535233	0.999965023961193
ABCB8	0.040118890327917	4.46125186183338e-08	0.00144269503079698	0.91812850131348	0.999965023961193
ABCB9	0.0235079328313088	1.73558284979853e-07	0.001442695012699	0.980418693514491	0.999965023961193
ABCC1	0.168002238468538	8.64783859003665e-08	0.00144269441498304	0.972436787485718	0.999965023961193
ABCC10	0.187566910795926	-1.17039655922891e-07	0.00144269481961706	0.97162316637541	0.999965023961193
ABCC13	0.00979198285996408	8.14648073338501e-08	0.0014426950110871	0.999910675055664	0.999965023961193
ABCC2	0.0135767969555936	-1.32263718389294e-07	0.0014426950102191	0.963478518305279	0.999965023961193
ABCC3	0.21750215651733	1.21919881239621e-07	0.0014426942958409	0.990282812569251	0.999965023961193
ABCC4	0.0184633769582651	-1.40989252182738e-07	0.00144269501229112	0.946581227097318	0.999965023961193
ABCC5	0.10810852067342	2.91694512398026e-07	0.0014426950057266	0.92568409114632	0.999965023961193
ABCC6	0.0712999897263145	1.01565811094399e-07	0.00144269496451629	0.978336286126983	0.999965023961193
ABCC9	79.818568024936	3.82973014314538e-06	0.00144254495652483	0.715284414302917	0.999965023961193
ABCD1	0.0937822547842452	2.12491956070378e-07	0.00144269501744961	0.872649044211904	0.999965023961193
ABCD2	0.0323133093881601	-2.07954552619711e-07	0.00144269502111042	0.942511409527621	0.999965023961193
ABCD3	0.110056984793683	4.33372021826468e-07	0.0014426948251123	0.894084617292688	0.999965023961193
ABCD4	0.254708215765888	-6.69436977196488e-07	0.00144269387433064	0.682474411005348	0.999965023961193
ABCE1	0.0320703473941861	1.40144647756519e-07	0.00144269501380523	0.98039696050653	0.999965023961193
ABCF1	1.68130413462078	1.00991567020362e-06	0.00144269235182993	0.436743772200213	0.999965023961193
ABCF2	0.0454354140375604	-5.29514560019195e-08	0.00144269499985342	0.983555611586888	0.999965023961193
ABCF3	0.124327021969009	2.19901358825533e-07	0.00144269476592161	0.982960386970121	0.999965023961193
ABCG1	0.183699817658371	4.32059399203045e-07	0.001442694219022	0.911492416492474	0.999965023961193
ABHD1	0.0250604055287376	-7.22117298281404e-09	0.00144269498783095	0.980899247554163	0.999965023961193
ABHD10	0.0191280203849164	3.17958318857169e-08	0.00144269500837269	0.981246982680237	0.999965023961193
ABHD11	0.172206033140484	-6.10583759733732e-07	0.0014426941617984	0.812623509840203	0.999965023961193
ABHD12	0.0463651737760735	-2.22465188232294e-07	0.00144269501714488	0.938656142414668	0.999965023961193
ABHD12B	1.0676441305907	-9.54426922040691e-07	0.00144268490751232	0.725103957170075	0.999965023961193
ABHD14B	0.0469391472375225	-1.35089085924757e-07	0.00144269494720669	0.977795179412435	0.999965023961193
ABHD15	0.0973346459427256	-4.15976821435718e-07	0.0014426946589578	0.953967648154865	0.999965023961193
ABHD16A	0.136808092372547	1.02490025400686e-07	0.00144269440816868	0.995391002425302	0.999965023961193
ABHD17A	0.13883120337805	-2.69069730691602e-07	0.00144269487403213	0.808312626484312	0.999965023961193
