ID	batch
E05	A
E06	A
E07	B
E08	A
E09	B
E10	A
E11	A
E12	A
E16	B
E17	B
E18	B
E19	B
E20	B
E21	B
E22	B
E23	B
E24	B
E25	B
E26	A
E27	B
E29	B
E30	A
E33	B
E34	B
E37	B
E40	B
E42	A
E43	B
E45	B
E47	B
E48	B
E50	A
E52	A
E53	A
E54	A
E55	A
E57	A
E58	A
E59	A
E62	A
E63	B
E66	A
E70	B
F09	A
F10	A
F100	A
F102	A
F104	B
F105	A
F107	A
F108	A
F109	B
F11	A
F110	A
F112	B
F113	B
F114	B
F12	A
F13	A
F14	A
F15	A
F16	B
F17	A
F19	A
F22	B
F34	A
F35	B
F36	B
F37	B
F38	A
F40	B
F44	A
F45	B
F47	B
F48	A
F50	B
F52	B
F53	A
F55	B
F56	B
F58	A
F59	A
F61	B
F62	A
F63	A
F64	B
F65	B
F67	A
F68	B
F70	B
F74	B
F76	A
F77	A
F78	A
F80	A
F81	A
F82	A
F86	A
F88	A
F89	A
F90	A
F91	B
F98	A
